case,attractor,n_re,rollout_a_mean,rollout_b_mean,rhs_mean,one_step_a_mean,one_step_b_mean,pressure_energy_rollout_mean,active_experts_mean,dead_experts_mean
V15_3 Strong,steady,4,0.20256975293159485,0.6481086537241936,0.30094053596258163,0.016911857994273305,0.26922066137194633,0.9739796486482248,4.0,18.0
V15_3 Strong,hopf,3,1.498323702812195,1.9063515464464824,1.2217069466908772,0.2739354620377223,0.5660711278518041,3.4774556947030164,4.0,18.0
V15_3 Strong,periodic,4,0.05980217847973108,0.07390853706747294,0.2096707820892334,0.028092160820961,0.029643486253917217,0.03960620124679294,4.4525316455696204,15.0
V15_3 HopfAmp,steady,4,0.196779053658247,0.44689880311489105,0.3007791191339493,0.016872690757736564,0.15979062393307686,0.30293973053895035,5.0,18.0
V15_3 HopfAmp,hopf,3,1.0191649695237477,0.8424960275491079,1.7647569179534912,0.35126762837171555,0.43130746483802795,1.4037551572187033,5.0,18.0
V15_3 HopfAmp,periodic,4,0.04667675476521254,0.06026384523138403,0.21018248051404953,0.029067388735711575,0.027576828375458717,0.04154940201773815,4.42879746835443,14.5
V15_3 Weighted,steady,4,0.1927045974880457,0.6416772454977036,0.3135308139026165,0.017249229829758406,0.14815941080451012,0.9180995033607586,5.0,18.0
V15_3 Weighted,hopf,3,0.6318231483300526,0.5459707140922546,0.6119095285733541,0.13662347197532654,0.18136714647213617,0.3630592932750451,5.0,18.0
V15_3 Weighted,periodic,4,0.06690448261797428,0.07675492512062192,0.20870190858840942,0.0470066387206316,0.05377334263175726,0.02084690194036455,4.498417721518987,12.75
V16 FullRegimeLoss,steady,4,0.2032201662659645,0.43731898069381714,0.264864232391119,0.014954883372411132,0.13866659998893738,0.6021409660307472,4.889344262295082,15.75
V16 FullRegimeLoss,hopf,3,0.4780816038449605,0.3967609961827596,0.4675106207529704,0.08735202128688495,0.1845404083530108,0.3929111857385821,4.740506329113924,15.0
V16 FullRegimeLoss,periodic,4,0.046965359151363364,0.05933429896831512,0.21176689118146896,0.03143166238442063,0.037194243632256985,0.012005595775842036,4.620253164556962,11.25
V16 AttractorConditioned,steady,4,0.1916835978627205,0.41840649768710136,0.28770122304558754,0.0161067231092602,0.15313410945236683,0.24606378560406664,3.1147540983606556,19.0
V16 AttractorConditioned,hopf,3,0.5992283831040065,0.589191041390101,0.6997492512067159,0.13048174853126207,0.24772882461547852,0.46918488531233477,3.0506329113924053,19.0
V16 AttractorConditioned,periodic,4,0.07943168878555298,0.10521949362009764,0.2617648020386696,0.04065906163305044,0.05319622438400984,0.0706434977241839,4.599683544303797,12.25
