case,Re,attractor,router_accuracy,pi_steady,pi_hopf,pi_periodic,adapter_delta_norm_mean,adapter_delta_to_h_norm_mean,confusion_matrix
V16 AttractorConditioned,24.630435943603516,steady,0.0,0.44817596673965454,0.532964825630188,0.018859364092350006,16.140300750732422,0.32910972833633423,"[[0, 61, 0], [0, 0, 0], [0, 0, 0]]"
V16 AttractorConditioned,32.74006652832031,steady,0.0,0.446802020072937,0.5335384607315063,0.01965966261923313,16.18672752380371,0.32368189096450806,"[[0, 61, 0], [0, 0, 0], [0, 0, 0]]"
V16 AttractorConditioned,39.68547821044922,steady,0.0,0.4455682337284088,0.5337186455726624,0.02071317844092846,16.205902099609375,0.3213053345680237,"[[0, 61, 0], [0, 0, 0], [0, 0, 0]]"
V16 AttractorConditioned,45.142704010009766,steady,0.0,0.44463425874710083,0.5337506532669067,0.021615145727992058,16.209239959716797,0.32072293758392334,"[[0, 61, 0], [0, 0, 0], [0, 0, 0]]"
V16 AttractorConditioned,47.081356048583984,hopf,1.0,0.44409123063087463,0.5345718264579773,0.021336864680051804,16.232303619384766,0.3183750808238983,"[[0, 0, 0], [0, 158, 0], [0, 0, 0]]"
V16 AttractorConditioned,49.02235794067383,hopf,1.0,0.443708598613739,0.5345587134361267,0.021732566878199577,16.229854583740234,0.318594753742218,"[[0, 0, 0], [0, 158, 0], [0, 0, 0]]"
V16 AttractorConditioned,51.78644943237305,hopf,1.0,0.44292572140693665,0.5352135896682739,0.021860666573047638,16.24318504333496,0.3167993426322937,"[[0, 0, 0], [0, 158, 0], [0, 0, 0]]"
V16 AttractorConditioned,70.31463623046875,periodic,1.0,0.001659370493143797,0.0028082646895200014,0.9955323338508606,4.0668487548828125,0.31942376494407654,"[[0, 0, 0], [0, 0, 0], [0, 0, 158]]"
V16 AttractorConditioned,100.35224914550781,periodic,1.0,8.598386193625629e-05,0.00015575715224258602,0.9997580647468567,3.018876791000366,0.2514955401420593,"[[0, 0, 0], [0, 0, 0], [0, 0, 158]]"
V16 AttractorConditioned,149.05923461914062,periodic,1.0,0.0004300135187804699,0.0006752234185114503,0.9988943338394165,2.9993717670440674,0.23222017288208008,"[[0, 0, 0], [0, 0, 0], [0, 0, 158]]"
V16 AttractorConditioned,189.86227416992188,periodic,1.0,0.00038720201700925827,0.0005656809662468731,0.9990476965904236,3.0601820945739746,0.24763348698616028,"[[0, 0, 0], [0, 0, 0], [0, 0, 158]]"
