case,Re,a_rollout_l2,b_rollout_l2,r_true_mean,r_pred_mean,amplitude_relative_l2,log_amplitude_mae,overshoot_ratio_mean,overshoot_ratio_max,phase_abs_error_mean,frequency_increment_mae
V15_3 Strong,47.081356048583984,0.8069576859474182,1.0780490517616272,1.3560742490981145e-06,2.653227520688457e-05,20.841133988231512,2.842280750676026,20.127166215766206,57.32576601695371,1.8581120739724268,0.6572129028144613
V15_3 HopfAmp,47.081356048583984,0.5587237477302551,0.40069817900657656,1.3560742490981145e-06,9.662935103816285e-05,71.0284190911414,4.256276833580696,73.21057803855159,142.89398973619717,1.603265859686643,0.7353678552012549
V15_3 Weighted,47.081356048583984,0.44077208638191223,0.32213065028190613,1.3560742490981145e-06,4.3051426567990937e-05,31.44521274457513,3.434792102239202,32.51939288782264,63.854502509038845,1.629641837215383,0.724887673289553
V16 FullRegimeLoss,47.081356048583984,0.6279316186904907,0.26705131530761717,1.3560742490981145e-06,2.020443049390011e-05,16.412609982893347,2.5083218345746636,15.081151427858345,39.6966052753044,1.361336292145974,0.7186945954391246
V16 AttractorConditioned,47.081356048583984,0.4866300284862518,0.4557386517524719,1.3560742490981145e-06,2.3904488725418466e-05,17.56562922436217,2.7969466466622945,18.124597553727586,36.8097654598938,1.572074314152379,0.732290959340011
V15_3 Strong,49.02235794067383,0.6135387778282165,0.9166443586349488,3.1318182584609653e-06,2.8713309455795266e-05,9.33075457611154,2.0559322201693746,9.324506132956834,20.616985294812633,1.0594297356264009,0.5043515837516525
V15_3 HopfAmp,49.02235794067383,0.3626525104045868,0.4046941757202148,3.1318182584609653e-06,9.421998870206904e-05,29.84347774906603,3.379166349818332,30.28609466634915,52.5507395669485,1.5511078669039562,0.7323279691113868
V15_3 Weighted,49.02235794067383,0.19973126649856568,0.3511850655078888,3.1318182584609653e-06,5.042545713264364e-05,15.864705428501402,2.724116631830212,16.217974550210815,29.30552221705344,1.5038038364664577,0.7185180325016044
V16 FullRegimeLoss,49.02235794067383,0.30533053278923034,0.29524503350257875,3.1318182584609653e-06,1.645393846731125e-05,4.947094272567089,1.5219686843945064,5.239575028269042,10.354750575700269,0.9497452682944192,0.6523792140254507
V16 AttractorConditioned,49.02235794067383,0.22266411483287812,0.44938296675682066,3.1318182584609653e-06,2.3247375393917472e-05,7.023272562189798,1.9214834486827101,7.507066428195847,14.098797704625136,1.2450702459509233,0.7231452793093417
V15_3 Strong,51.78644943237305,3.07447464466095,3.724361228942871,2.323636391929342e-05,4.425410789894715e-05,1.0894435706883976,0.6139585048282236,1.9330476674349915,4.2434447275533165,0.4876728193683794,0.2928176831665149
V15_3 HopfAmp,51.78644943237305,2.1361186504364014,1.7220957279205322,2.323636391929342e-05,8.897302207030838e-05,2.971285894444981,1.3435576087791086,4.258866775444703,12.186051178676665,1.2693701593584994,0.7376293712083934
V15_3 Weighted,51.78644943237305,1.2549660921096801,0.964596426486969,2.323636391929342e-05,6.0516271616029494e-05,1.8618974639687698,0.9998629931482074,2.825102995949829,7.33710918430952,0.9155020810229394,0.6712812475531162
V16 FullRegimeLoss,51.78644943237305,0.5009826600551606,0.6279866397380829,2.323636391929342e-05,3.793381421992382e-05,0.8273838683815717,0.5408315028475491,1.6662878022014989,3.610737872586446,0.39253064626723877,0.28000397349485584
V16 AttractorConditioned,51.78644943237305,1.0883910059928894,0.8624515056610107,2.323636391929342e-05,3.1827192606759086e-05,0.6610527326168802,0.5080486073384362,1.4132541159447038,3.2425414361067864,0.7009048338014366,0.5065268341343021
