Re,label,status,npz,n_times,n_points,n_cells,size_bytes
50.0,Re_50p000000,completed,Re_50p000000_uvp_pointData.npz,129,97368,48128,67579091
50.28473956963665,Re_50p284740,completed,Re_50p284740_uvp_pointData.npz,129,97368,48128,67435374
50.725835688997414,Re_50p725836,completed,Re_50p725836_uvp_pointData.npz,128,97368,48128,66732576
51.2547624634004,Re_51p254762,completed,Re_51p254762_uvp_pointData.npz,129,97368,48128,67277562
51.850243182198504,Re_51p850243,completed,Re_51p850243_uvp_pointData.npz,129,97368,48128,67297239
52.50067544795085,Re_52p500675,completed,Re_52p500675_uvp_pointData.npz,129,97368,48128,67302485
53.198541664976545,Re_53p198542,completed,Re_53p198542_uvp_pointData.npz,128,97368,48128,66820137
53.938493910453815,Re_53p938494,completed,Re_53p938494_uvp_pointData.npz,129,97368,48128,67350458
54.71649422199223,Re_54p716494,completed,Re_54p716494_uvp_pointData.npz,129,97368,48128,67385929
55.529364399783695,Re_55p529364,completed,Re_55p529364_uvp_pointData.npz,128,97368,48128,66875796
56.374524935324224,Re_56p374525,completed,Re_56p374525_uvp_pointData.npz,129,97368,48128,67471901
57.24983210780596,Re_57p249832,completed,Re_57p249832_uvp_pointData.npz,129,97368,48128,67459257
58.1534705420386,Re_58p153471,completed,Re_58p153471_uvp_pointData.npz,128,97368,48128,67001629
59.083879193653836,Re_59p083879,completed,Re_59p083879_uvp_pointData.npz,129,97368,48128,67557741
60.03969853840223,Re_60p039699,completed,Re_60p039699_uvp_pointData.npz,129,97368,48128,67506371
61.019731782413324,Re_61p019732,completed,Re_61p019732_uvp_pointData.npz,129,97368,48128,67423254
62.022915668660175,Re_62p022916,completed,Re_62p022916_uvp_pointData.npz,128,97368,48128,66867193
63.04829804495639,Re_63p048298,completed,Re_63p048298_uvp_pointData.npz,129,97368,48128,67150395
64.0950203161302,Re_64p095020,completed,Re_64p095020_uvp_pointData.npz,129,97368,48128,67039174
65.16230350105268,Re_65p162304,completed,Re_65p162304_uvp_pointData.npz,128,97368,48128,66560669
66.24943700085825,Re_66p249437,completed,Re_66p249437_uvp_pointData.npz,128,97368,48128,66561385
67.35576944038614,Re_67p355769,completed,Re_67p355769_uvp_pointData.npz,128,97368,48128,66556985
68.48070111856899,Re_68p480701,completed,Re_68p480701_uvp_pointData.npz,129,97368,48128,67089644
69.62367772406823,Re_69p623678,completed,Re_69p623678_uvp_pointData.npz,128,97368,48128,66587643
70.78418505777968,Re_70p784185,completed,Re_70p784185_uvp_pointData.npz,128,97368,48128,66593659
71.961744565267,Re_71p961745,completed,Re_71p961745_uvp_pointData.npz,129,97368,48128,67125146
73.15590952711165,Re_73p155910,completed,Re_73p155910_uvp_pointData.npz,129,97368,48128,67135578
74.3662617884985,Re_74p366262,completed,Re_74p366262_uvp_pointData.npz,128,97368,48128,66620531
75.59240893440443,Re_75p592409,completed,Re_75p592409_uvp_pointData.npz,129,97368,48128,67140099
76.83398183580583,Re_76p833982,completed,Re_76p833982_uvp_pointData.npz,129,97368,48128,67144840
78.09063250696548,Re_78p090633,completed,Re_78p090633_uvp_pointData.npz,129,97368,48128,67146260
79.36203222523305,Re_79p362032,completed,Re_79p362032_uvp_pointData.npz,129,97368,48128,67159425
80.6478698737082,Re_80p647870,completed,Re_80p647870_uvp_pointData.npz,129,97368,48128,67163611
81.94785047416524,Re_81p947850,completed,Re_81p947850_uvp_pointData.npz,129,97368,48128,67158568
83.26169388325664,Re_83p261694,completed,Re_83p261694_uvp_pointData.npz,129,97368,48128,67167066
84.58913362952583,Re_84p589134,completed,Re_84p589134_uvp_pointData.npz,129,97368,48128,67167494
85.92991587240932,Re_85p929916,completed,Re_85p929916_uvp_pointData.npz,129,97368,48128,67165673
87.28379846737946,Re_87p283798,completed,Re_87p283798_uvp_pointData.npz,129,97368,48128,67170419
88.65055012381347,Re_88p650550,completed,Re_88p650550_uvp_pointData.npz,128,97368,48128,66653576
90.02994964418022,Re_90p029950,completed,Re_90p029950_uvp_pointData.npz,129,97368,48128,67176917
91.42178523479743,Re_91p421785,completed,Re_91p421785_uvp_pointData.npz,128,97368,48128,66658029
92.82585387979714,Re_92p825854,completed,Re_92p825854_uvp_pointData.npz,129,97368,48128,67173964
94.24196077109409,Re_94p241961,completed,Re_94p241961_uvp_pointData.npz,129,97368,48128,67169759
95.66991878812722,Re_95p669919,completed,Re_95p669919_uvp_pointData.npz,128,97368,48128,66656549
97.10954802196616,Re_97p109548,completed,Re_97p109548_uvp_pointData.npz,129,97368,48128,67169920
98.56067533907228,Re_98p560675,completed,Re_98p560675_uvp_pointData.npz,128,97368,48128,66654145
100.02313398059889,Re_100p023134,completed,Re_100p023134_uvp_pointData.npz,129,97368,48128,67176794
101.49676319362149,Re_101p496763,completed,Re_101p496763_uvp_pointData.npz,129,97368,48128,67180140
102.98140789112661,Re_102p981408,completed,Re_102p981408_uvp_pointData.npz,129,97368,48128,67184094
104.47691833796033,Re_104p476918,completed,Re_104p476918_uvp_pointData.npz,129,97368,48128,67187021
105.9831498602642,Re_105p983150,completed,Re_105p983150_uvp_pointData.npz,128,97368,48128,66686012
107.49996257620461,Re_107p499963,completed,Re_107p499963_uvp_pointData.npz,129,97368,48128,67221299
109.02722114604703,Re_109p027221,completed,Re_109p027221_uvp_pointData.npz,128,97368,48128,66713947
110.56479453983853,Re_110p564795,completed,Re_110p564795_uvp_pointData.npz,128,97368,48128,66722597
112.11255582114805,Re_112p112556,completed,Re_112p112556_uvp_pointData.npz,129,97368,48128,67254607
113.67038194547632,Re_113p670382,completed,Re_113p670382_uvp_pointData.npz,129,97368,48128,67269744
115.23815357209122,Re_115p238154,completed,Re_115p238154_uvp_pointData.npz,129,97368,48128,67280398
116.81575488816932,Re_116p815755,completed,Re_116p815755_uvp_pointData.npz,129,97368,48128,67291794
118.40307344423672,Re_118p403073,completed,Re_118p403073_uvp_pointData.npz,129,97368,48128,67295035
120.0,Re_120p000000,completed,Re_120p000000_uvp_pointData.npz,129,97368,48128,67260436
122.5876379693534,Re_122p587638,completed,Re_122p587638_uvp_pointData.npz,129,97368,48128,67107815
125.74232819111633,Re_125p742328,completed,Re_125p742328_uvp_pointData.npz,129,97368,48128,66924321
129.15362165831633,Re_129p153622,completed,Re_129p153622_uvp_pointData.npz,129,97368,48128,66895096
132.7430241189145,Re_132p743024,completed,Re_132p743024_uvp_pointData.npz,128,97368,48128,66367811
136.4709640793883,Re_136p470964,completed,Re_136p470964_uvp_pointData.npz,129,97368,48128,66890803
140.31315830185366,Re_140p313158,completed,Re_140p313158_uvp_pointData.npz,128,97368,48128,66403856
144.25304435879485,Re_144p253044,completed,Re_144p253044_uvp_pointData.npz,128,97368,48128,66409483
148.27854108834353,Re_148p278541,completed,Re_148p278541_uvp_pointData.npz,129,97368,48128,66932917
152.38041428358497,Re_152p380414,completed,Re_152p380414_uvp_pointData.npz,129,97368,48128,66944405
156.5513578360306,Re_156p551358,completed,Re_156p551358_uvp_pointData.npz,129,97368,48128,66941731
160.7854354076802,Re_160p785435,completed,Re_160p785435_uvp_pointData.npz,128,97368,48128,66430966
165.07772066603667,Re_165p077721,completed,Re_165p077721_uvp_pointData.npz,129,97368,48128,66940631
169.42405454256362,Re_169p424055,completed,Re_169p424055_uvp_pointData.npz,129,97368,48128,66943773
173.82087525045205,Re_173p820875,completed,Re_173p820875_uvp_pointData.npz,128,97368,48128,66403625
178.26509554893917,Re_178p265096,completed,Re_178p265096_uvp_pointData.npz,129,97368,48128,66895535
182.75401181248435,Re_182p754012,completed,Re_182p754012_uvp_pointData.npz,129,97368,48128,66881382
187.28523517025508,Re_187p285235,completed,Re_187p285235_uvp_pointData.npz,129,97368,48128,66893350
191.85663836395094,Re_191p856638,completed,Re_191p856638_uvp_pointData.npz,129,97368,48128,66916649
196.46631405470794,Re_196p466314,completed,Re_196p466314_uvp_pointData.npz,129,97368,48128,66916968
201.11254163497472,Re_201p112542,completed,Re_201p112542_uvp_pointData.npz,128,97368,48128,66393951
205.79376046883607,Re_205p793760,completed,Re_205p793760_uvp_pointData.npz,129,97368,48128,66922954
210.50854806671384,Re_210p508548,completed,Re_210p508548_uvp_pointData.npz,129,97368,48128,66937190
215.25560210021428,Re_215p255602,completed,Re_215p255602_uvp_pointData.npz,129,97368,48128,66950483
220.03372544287214,Re_220p033725,completed,Re_220p033725_uvp_pointData.npz,128,97368,48128,66448064
224.84181362213127,Re_224p841814,completed,Re_224p841814_uvp_pointData.npz,128,97368,48128,66457638
229.67884421248942,Re_229p678844,completed,Re_229p678844_uvp_pointData.npz,128,97368,48128,66464314
234.54386780602948,Re_234p543868,completed,Re_234p543868_uvp_pointData.npz,128,97368,48128,66464162
